StudentID,Gender,Major
414,Male,Aerospace Engineering
415,Female,Mechanical Engineering
416,Female,Civil Engineering
417,Female,Computer Science
418,Female,Aerospace Engineering
419,Female,Aerospace Engineering
420,Female,Aerospace Engineering
421,Male,Aerospace Engineering
422,Female,Mechanical Engineering
423,Female,Computer Science
424,Female,Mechanical Engineering
425,Female,Computer Science
426,Male,Computer Science
427,Female,Robotics Engineering
428,Female,Computer Science
429,Female,Biomedical Engineering
430,Male,Mechanical Engineering
431,Female,Architectural Engineering
432,Female,Civil Engineering
433,Male,Mechanical Engineering
434,Male,Biomedical Engineering
435,Male,Mathematical Sciences
436,Female,Civil Engineering
437,Male,Electrical & Computer Engineering
438,Female,Mechanical Engineering
439,Female,Biomedical Engineering
440,Male,Mechanical Engineering
441,Male,Architectural Engineering
442,Female,Biomedical Engineering
443,Female,Biochemistry
444,Male,Computer Science
445,Female,Biochemistry
446,Male,Robotics Engineering
447,Male,Aerospace Engineering
448,Male,Mechanical Engineering
449,Male,Aerospace Engineering
450,Male,Aerospace Engineering
451,Male,Aerospace Engineering
452,Male,Mechanical Engineering
453,Female,Computer Science
454,Female,Biochemistry
455,Male,Chemical Engineering
456,Female,Biomedical Engineering
457,Female,Biomedical Engineering
458,Female,Electrical & Computer Engineering
459,Male,Electrical & Computer Engineering
460,Male,Mechanical Engineering
461,Male,Mechanical Engineering
462,Male,Architectural Engineering
463,Male,Civil Engineering
464,Male,Civil Engineering
465,Female,Business
466,Female,Biology & Biotechnology
467,Female,Biomedical Engineering
468,Male,Computer Science
469,Male,Management Information Systems
470,Male,Mechanical Engineering
471,Male,Aerospace Engineering
472,Female,Mechanical Engineering
473,Male,Business
474,Male,Computer Science
475,Male,Aerospace Engineering
476,Female,Mechanical Engineering
477,Female,Biomedical Engineering
478,Female,Mechanical Engineering
479,Male,Computer Science
480,Female,Mechanical Engineering
481,Male,Management Engineering
482,Female,Civil Engineering
483,Male,Computer Science
484,Male,Electrical & Computer Engineering
485,Male,Aerospace Engineering
486,Female,Biochemistry
487,Female,Computer Science
488,Male,Robotics Engineering
489,Male,Aerospace Engineering
490,Male,Computer Science
491,Male,Biomedical Engineering
492,Female,Computer Science
493,Female,Chemical Engineering
494,Female,Architectural Engineering
495,Male,Architectural Engineering
496,Female,Biomedical Engineering
497,Female,Robotics Engineering
498,Male,Mechanical Engineering
499,Male,Management Engineering
500,Female,Aerospace Engineering
501,Female,Mechanical Engineering
502,Female,Mathematical Sciences
503,Male,Mechanical Engineering
504,Male,Mechanical Engineering
505,Male,Mechanical Engineering
506,Female,Mechanical Engineering
507,Female,Biomedical Engineering
508,Female,Mechanical Engineering
509,Male,Mechanical Engineering
510,Female,Mechanical Engineering
511,Male,Mechanical Engineering
512,Female,Civil Engineering
513,Male,Industrial Engineering
514,Female,Mechanical Engineering
515,Female,Civil Engineering
